MEASURE_ID,MEASURE_NAME
M221,Median_LastWSASHM
M222,Count_WSASSLAPairedScores
M223,Mean_FirstWSASSLA
M224,Median_FirstWSASSLA
M225,Mean_LastWSASSLA
M226,Median_LastWSASSLA
M227,Count_WSASPLAPairedScores
M228,Mean_FirstWSASPLA
M229,Median_FirstWSASPLA
M230,Mean_LastWSASPLA
M231,Median_LastWSASPLA
M232,Count_WSASRPairedScores
M233,Mean_FirstWSASR
M234,Median_FirstWSASR
M235,Mean_LastWSASR
M236,Median_LastWSASR
M271,Count_FirstIntegratedContact
M272,Count_FirstIntegratedTreatment
M273,Count_FinishedIntegratedReferrals
M274,Count_FinishedIntegratedReferralsCoreOnly
M275,Count_IntegratedReferralsAtCaseness
M276,Count_IntegratedReferralsNotAtCaseness
M277,Count_IntegratedReferralsRecovered
M278,Percentage_IntegratedReferralsRecovered
M283,Count_IntegratedReferralsCoreOnlyAtCaseness
M284,Count_IntegratedReferralsCoreOnlyNotAtCaseness
M285,Count_IntegratedReferralsCoreOnlyRecovered
M286,Percentage_IntegratedReferralsCoreOnlyRecovered
M287,Count_MHDropInReferrals
M288,Percentage_AccessAttrition
M340,Count_EndedIncompleteAssessment
M341,Count_EndedBeforePatientRequested
M342,Count_EndedNotAssessed
M343,Count_InternetEnabledTherapySessions
M344,Count_EndedBeforeCareProfessionalPlanned
M345,Count_MaternityServiceReferrals
M346,Count_CommunitySignpostingAppts
M347,Mean_Wait_AssessmentDate_HighIntensityFirstDate
M348,Mean_Wait_AssessmentDate_LowIntensityFirstDate
M349,Mean_Wait_StepDown_LastHighIntensity_FirstLowIntensity
M350,Mean_Wait_StepUp_LastLowIntensity_FirstHighIntensity
M351,Mean_DaysWaitedBetweenTreatments
M352,Count_AssessmentDate_HighIntensityFirstDate
M353,Count_AssessmentDate_LowIntensityFirstDate
M354,Count_Wait_StepDown_LastHighIntensity_FirstLowIntensity
M355,Count_Wait_StepUp_LastLowIntensity_FirstHighIntensity
