actual_cost,date,items,quantity,row_id,row_name
1431.28,2021-01-01,24,672.0,42D,NHS NORTH YORKSHIRE
278.89,2021-01-01,3,140.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1402.33,2021-01-01,20,644.0,70F,NHS WEST SUSSEX
6255.04,2021-01-01,97,3017.0,71E,NHS LINCOLNSHIRE
4105.92,2021-01-01,59,1932.0,72Q,NHS SOUTH EAST LONDON
527.03,2021-01-01,10,266.0,78H,NHS NORTHAMPTONSHIRE
1125.05,2021-01-01,19,532.0,84H,NHS COUNTY DURHAM
21455.39,2021-01-01,342,10205.0,91Q,NHS KENT AND MEDWAY
10023.02,2021-01-01,147,4700.0,92A,NHS SURREY HEARTLANDS
1803.18,2021-01-01,18,875.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
2425.69,2021-01-01,34,1176.0,93C,NHS NORTH CENTRAL LONDON
2010.68,2021-01-01,33,973.0,97R,NHS EAST SUSSEX
427.24,2021-01-01,7,196.0,99A,NHS LIVERPOOL
1150.72,2021-01-01,20,532.0,99C,NHS NORTH TYNESIDE
1664.58,2021-01-01,26,840.0,99E,NHS BASILDON AND BRENTWOOD
981.64,2021-01-01,15,476.0,99F,NHS CASTLE POINT AND ROCHFORD
1282.22,2021-01-01,20,644.0,99G,NHS SOUTHEND
3404.25,2021-01-01,49,1556.0,A3A8R,NHS NORTH EAST LONDON
695.4,2021-01-01,9,336.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
5107.92,2021-01-01,80,2468.0,D2P2L,NHS BLACK COUNTRY
2408.65,2021-01-01,36,1113.0,D4U1Y,NHS FRIMLEY
5611.6,2021-01-01,86,2674.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
5757.72,2021-01-01,88,2736.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
247.38,2021-01-01,4,112.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
4112.57,2021-01-01,54,1988.0,W2U3Z,NHS NORTH WEST LONDON
1156.12,2021-01-01,24,588.0,X2C4Y,NHS KIRKLEES
5185.51,2021-02-01,91,2394.0,00L,NHS NORTHUMBERLAND
689.68,2021-02-01,11,336.0,00N,NHS SOUTH TYNESIDE
465.63,2021-02-01,8,224.0,00P,NHS SUNDERLAND
675.09,2021-02-01,11,308.0,00Q,NHS BLACKBURN WITH DARWEN
496.63,2021-02-01,6,252.0,00R,NHS BLACKPOOL
505.15,2021-02-01,6,244.0,00T,NHS BOLTON
613.34,2021-02-01,10,282.0,00V,NHS BURY
757.45,2021-02-01,5,326.0,00Y,NHS OLDHAM
3007.06,2021-02-01,49,1456.0,01A,NHS EAST LANCASHIRE
644.96,2021-02-01,12,292.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
829.99,2021-02-01,13,378.0,01E,NHS GREATER PRESTON
1051.44,2021-02-01,14,504.0,01G,NHS SALFORD
397.53,2021-02-01,6,196.0,01H,NHS NORTH CUMBRIA
125.47,2021-02-01,2,56.0,01J,NHS KNOWSLEY
1507.24,2021-02-01,23,700.0,01K,NHS MORECAMBE BAY
61.04,2021-02-01,1,28.0,01T,NHS SOUTH SEFTON
662.55,2021-02-01,10,308.0,01W,NHS STOCKPORT
233.82,2021-02-01,2,120.0,01X,NHS ST HELENS
202.94,2021-02-01,3,84.0,01Y,NHS TAMESIDE AND GLOSSOP
1094.55,2021-02-01,21,483.0,02A,NHS TRAFFORD
334.89,2021-02-01,3,140.0,02E,NHS WARRINGTON
440.84,2021-02-01,8,224.0,02G,NHS WEST LANCASHIRE
1670.15,2021-02-01,27,812.0,02H,NHS WIGAN BOROUGH
1023.81,2021-02-01,14,504.0,02M,NHS FYLDE AND WYRE
1306.99,2021-02-01,19,622.0,02P,NHS BARNSLEY
333.09,2021-02-01,4,168.0,02Q,NHS BASSETLAW
356.59,2021-02-01,6,168.0,02T,NHS CALDERDALE
592.92,2021-02-01,10,280.0,02X,NHS DONCASTER
2710.18,2021-02-01,42,1316.0,02Y,NHS EAST RIDING OF YORKSHIRE
372.37,2021-02-01,9,175.0,03F,NHS HULL
106.69,2021-02-01,2,56.0,03H,NHS NORTH EAST LINCOLNSHIRE
212.85,2021-02-01,3,84.0,03L,NHS ROTHERHAM
3342.52,2021-02-01,52,1540.0,03N,NHS SHEFFIELD
544.12,2021-02-01,8,252.0,03Q,NHS VALE OF YORK
1838.47,2021-02-01,30,896.0,03R,NHS WAKEFIELD
2766.31,2021-02-01,44,1359.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
2793.5,2021-02-01,45,1304.0,04C,NHS LEICESTER CITY
4344.86,2021-02-01,63,2102.0,04V,NHS WEST LEICESTERSHIRE
61.04,2021-02-01,1,28.0,04Y,NHS CANNOCK CHASE
56.0,2021-02-01,1,30.0,05D,NHS EAST STAFFORDSHIRE
54.52,2021-02-01,1,28.0,05G,NHS NORTH STAFFORDSHIRE
186.51,2021-02-01,3,84.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
183.12,2021-02-01,3,84.0,05V,NHS STAFFORD AND SURROUNDS
158.86,2021-02-01,3,84.0,05W,NHS STOKE ON TRENT
2558.08,2021-02-01,39,1232.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
1386.65,2021-02-01,22,632.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
1100.48,2021-02-01,15,560.0,06L,NHS IPSWICH AND EAST SUFFOLK
390.97,2021-02-01,3,196.0,06N,NHS HERTS VALLEYS
889.83,2021-02-01,15,422.0,06Q,NHS MID ESSEX
762.1,2021-02-01,14,364.0,06T,NHS NORTH EAST ESSEX
1489.42,2021-02-01,23,728.0,07G,NHS THURROCK
2875.3,2021-02-01,42,1446.0,07H,NHS WEST ESSEX
915.3,2021-02-01,14,420.0,07K,NHS WEST SUFFOLK
751.15,2021-02-01,14,364.0,09D,NHS BRIGHTON AND HOVE
458.57,2021-02-01,7,224.0,10Q,NHS OXFORDSHIRE
115.56,2021-02-01,2,56.0,10R,NHS PORTSMOUTH
4417.06,2021-02-01,59,2156.0,11J,NHS DORSET
600.96,2021-02-01,8,280.0,11M,NHS GLOUCESTERSHIRE
2950.4,2021-02-01,48,1344.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
250.94,2021-02-01,4,112.0,11X,NHS SOMERSET
276.77,2021-02-01,5,140.0,12F,NHS WIRRAL
760.65,2021-02-01,13,364.0,13T,NHS NEWCASTLE GATESHEAD
1446.7,2021-02-01,25,693.0,14L,NHS MANCHESTER
562.36,2021-02-01,8,280.0,14Y,NHS BUCKINGHAMSHIRE
1228.04,2021-02-01,13,580.0,15A,NHS BERKSHIRE WEST
202.94,2021-02-01,3,84.0,15E,NHS BIRMINGHAM AND SOLIHULL
767.66,2021-02-01,11,336.0,15F,NHS LEEDS
12856.18,2021-02-01,203,5974.0,15M,NHS DERBY AND DERBYSHIRE
776.8,2021-02-01,12,392.0,15N,NHS DEVON
1180.44,2021-02-01,27,588.0,16C,NHS TEES VALLEY
3228.95,2021-02-01,53,1519.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
1183.42,2021-02-01,19,560.0,26A,NHS NORFOLK AND WAVENEY
858.46,2021-02-01,14,420.0,27D,NHS CHESHIRE
2142.86,2021-02-01,33,1008.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
7302.22,2021-02-01,110,3588.0,36L,NHS SOUTH WEST LONDON
1340.21,2021-02-01,22,623.0,42D,NHS NORTH YORKSHIRE
176.69,2021-02-01,3,91.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1213.46,2021-02-01,19,560.0,70F,NHS WEST SUSSEX
6426.23,2021-02-01,105,3066.0,71E,NHS LINCOLNSHIRE
3289.09,2021-02-01,54,1572.0,72Q,NHS SOUTH EAST LONDON
466.65,2021-02-01,8,224.0,78H,NHS NORTHAMPTONSHIRE
1592.54,2021-02-01,27,773.0,84H,NHS COUNTY DURHAM
20633.43,2021-02-01,319,9816.0,91Q,NHS KENT AND MEDWAY
9616.95,2021-02-01,150,4516.0,92A,NHS SURREY HEARTLANDS
2703.49,2021-02-01,23,1301.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
1473.77,2021-02-01,25,710.0,93C,NHS NORTH CENTRAL LONDON
2085.19,2021-02-01,34,994.0,97R,NHS EAST SUSSEX
332.7,2021-02-01,6,154.0,99A,NHS LIVERPOOL
905.23,2021-02-01,20,420.0,99C,NHS NORTH TYNESIDE
937.49,2021-02-01,15,476.0,99E,NHS BASILDON AND BRENTWOOD
765.86,2021-02-01,13,364.0,99F,NHS CASTLE POINT AND ROCHFORD
884.29,2021-02-01,15,448.0,99G,NHS SOUTHEND
3321.01,2021-02-01,52,1546.0,A3A8R,NHS NORTH EAST LONDON
1249.42,2021-02-01,17,588.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
4809.09,2021-02-01,78,2328.0,D2P2L,NHS BLACK COUNTRY
1964.65,2021-02-01,31,924.0,D4U1Y,NHS FRIMLEY
5292.33,2021-02-01,81,2492.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
6215.51,2021-02-01,86,2872.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
176.6,2021-02-01,3,84.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
5482.61,2021-02-01,67,2643.0,W2U3Z,NHS NORTH WEST LONDON
1046.89,2021-02-01,23,504.0,X2C4Y,NHS KIRKLEES
5881.92,2021-03-01,95,2688.0,00L,NHS NORTHUMBERLAND
955.62,2021-03-01,16,476.0,00N,NHS SOUTH TYNESIDE
639.27,2021-03-01,11,308.0,00P,NHS SUNDERLAND
726.56,2021-03-01,12,336.0,00Q,NHS BLACKBURN WITH DARWEN
545.79,2021-03-01,8,266.0,00R,NHS BLACKPOOL
393.92,2021-03-01,5,188.0,00T,NHS BOLTON
1073.39,2021-03-01,17,504.0,00V,NHS BURY
54.47,2021-03-01,1,28.0,00X,NHS CHORLEY AND SOUTH RIBBLE
1714.2,2021-03-01,11,830.0,00Y,NHS OLDHAM
3379.15,2021-03-01,56,1652.0,01A,NHS EAST LANCASHIRE
567.53,2021-03-01,9,253.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
892.54,2021-03-01,16,398.0,01E,NHS GREATER PRESTON
702.05,2021-03-01,12,336.0,01G,NHS SALFORD
972.01,2021-03-01,14,476.0,01H,NHS NORTH CUMBRIA
2066.72,2021-03-01,29,952.0,01K,NHS MORECAMBE BAY
60.98,2021-03-01,1,28.0,01T,NHS SOUTH SEFTON
730.44,2021-03-01,11,336.0,01W,NHS STOCKPORT
182.77,2021-03-01,3,88.0,01X,NHS ST HELENS
403.66,2021-03-01,6,196.0,01Y,NHS TAMESIDE AND GLOSSOP
1670.95,2021-03-01,28,763.0,02A,NHS TRAFFORD
70.88,2021-03-01,1,28.0,02E,NHS WARRINGTON
123.0,2021-03-01,2,56.0,02G,NHS WEST LANCASHIRE
2394.55,2021-03-01,37,1148.0,02H,NHS WIGAN BOROUGH
858.42,2021-03-01,14,392.0,02M,NHS FYLDE AND WYRE
1481.02,2021-03-01,22,724.0,02P,NHS BARNSLEY
342.67,2021-03-01,4,168.0,02Q,NHS BASSETLAW
176.43,2021-03-01,3,84.0,02T,NHS CALDERDALE
531.37,2021-03-01,9,252.0,02X,NHS DONCASTER
3599.61,2021-03-01,55,1701.0,02Y,NHS EAST RIDING OF YORKSHIRE
502.6,2021-03-01,10,224.0,03F,NHS HULL
106.59,2021-03-01,2,56.0,03H,NHS NORTH EAST LINCOLNSHIRE
104.23,2021-03-01,1,56.0,03L,NHS ROTHERHAM
4247.25,2021-03-01,65,1988.0,03N,NHS SHEFFIELD
974.89,2021-03-01,15,448.0,03Q,NHS VALE OF YORK
1848.94,2021-03-01,29,924.0,03R,NHS WAKEFIELD
4006.15,2021-03-01,64,1936.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
3040.6,2021-03-01,44,1436.0,04C,NHS LEICESTER CITY
4433.56,2021-03-01,66,2167.0,04V,NHS WEST LEICESTERSHIRE
113.1,2021-03-01,2,56.0,04Y,NHS CANNOCK CHASE
54.47,2021-03-01,1,28.0,05G,NHS NORTH STAFFORDSHIRE
125.35,2021-03-01,2,56.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
121.96,2021-03-01,2,56.0,05V,NHS STAFFORD AND SURROUNDS
106.59,2021-03-01,2,56.0,05W,NHS STOKE ON TRENT
2690.58,2021-03-01,42,1316.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
1523.79,2021-03-01,22,716.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
1345.4,2021-03-01,17,672.0,06L,NHS IPSWICH AND EAST SUFFOLK
117.06,2021-03-01,4,52.0,06N,NHS HERTS VALLEYS
680.77,2021-03-01,12,338.0,06Q,NHS MID ESSEX
783.2,2021-03-01,15,406.0,06T,NHS NORTH EAST ESSEX
1937.73,2021-03-01,26,980.0,07G,NHS THURROCK
3986.6,2021-03-01,59,2012.0,07H,NHS WEST ESSEX
1230.24,2021-03-01,19,560.0,07K,NHS WEST SUFFOLK
750.43,2021-03-01,14,364.0,09D,NHS BRIGHTON AND HOVE
555.82,2021-03-01,8,280.0,10Q,NHS OXFORDSHIRE
624.9,2021-03-01,9,308.0,10R,NHS PORTSMOUTH
6874.81,2021-03-01,93,3381.0,11J,NHS DORSET
550.11,2021-03-01,9,252.0,11M,NHS GLOUCESTERSHIRE
3344.12,2021-03-01,55,1540.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
196.23,2021-03-01,3,84.0,11X,NHS SOMERSET
763.55,2021-03-01,12,364.0,12F,NHS WIRRAL
688.5,2021-03-01,11,308.0,13T,NHS NEWCASTLE GATESHEAD
1598.24,2021-03-01,25,756.0,14L,NHS MANCHESTER
1276.32,2021-03-01,14,616.0,14Y,NHS BUCKINGHAMSHIRE
1415.68,2021-03-01,14,705.0,15A,NHS BERKSHIRE WEST
369.26,2021-03-01,5,168.0,15E,NHS BIRMINGHAM AND SOLIHULL
951.93,2021-03-01,13,420.0,15F,NHS LEEDS
18017.01,2021-03-01,285,8370.0,15M,NHS DERBY AND DERBYSHIRE
1050.42,2021-03-01,14,504.0,15N,NHS DEVON
745.41,2021-03-01,19,350.0,16C,NHS TEES VALLEY
3963.14,2021-03-01,61,1841.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
1673.71,2021-03-01,27,784.0,26A,NHS NORFOLK AND WAVENEY
1043.96,2021-03-01,17,504.0,27D,NHS CHESHIRE
1775.21,2021-03-01,29,840.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
9245.34,2021-03-01,141,4503.0,36L,NHS SOUTH WEST LONDON
1606.56,2021-03-01,26,756.0,42D,NHS NORTH YORKSHIRE
501.51,2021-03-01,8,257.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1718.61,2021-03-01,25,784.0,70F,NHS WEST SUSSEX
7958.26,2021-03-01,125,3838.0,71E,NHS LINCOLNSHIRE
4404.91,2021-03-01,64,2093.0,72Q,NHS SOUTH EAST LONDON
515.97,2021-03-01,9,252.0,78H,NHS NORTHAMPTONSHIRE
1637.36,2021-03-01,27,784.0,84H,NHS COUNTY DURHAM
25148.92,2021-03-01,399,11984.0,91Q,NHS KENT AND MEDWAY
9638.27,2021-03-01,150,4514.0,92A,NHS SURREY HEARTLANDS
2471.17,2021-03-01,22,1221.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
2816.45,2021-03-01,37,1344.0,93C,NHS NORTH CENTRAL LONDON
2421.84,2021-03-01,39,1148.0,97R,NHS EAST SUSSEX
480.63,2021-03-01,9,224.0,99A,NHS LIVERPOOL
779.1,2021-03-01,15,364.0,99C,NHS NORTH TYNESIDE
1778.81,2021-03-01,26,896.0,99E,NHS BASILDON AND BRENTWOOD
911.56,2021-03-01,14,448.0,99F,NHS CASTLE POINT AND ROCHFORD
1274.7,2021-03-01,22,630.0,99G,NHS SOUTHEND
4121.06,2021-03-01,69,1921.0,A3A8R,NHS NORTH EAST LONDON
1237.0,2021-03-01,17,588.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
4955.7,2021-03-01,75,2386.0,D2P2L,NHS BLACK COUNTRY
2524.01,2021-03-01,34,1204.0,D4U1Y,NHS FRIMLEY
6155.5,2021-03-01,86,2846.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
6430.11,2021-03-01,97,3066.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
353.9,2021-03-01,6,168.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
4436.52,2021-03-01,60,2156.0,W2U3Z,NHS NORTH WEST LONDON
950.09,2021-03-01,28,448.0,X2C4Y,NHS KIRKLEES
5636.03,2021-04-01,92,2638.0,00L,NHS NORTHUMBERLAND
573.1,2021-04-01,10,280.0,00N,NHS SOUTH TYNESIDE
470.83,2021-04-01,7,224.0,00P,NHS SUNDERLAND
734.77,2021-04-01,13,336.0,00Q,NHS BLACKBURN WITH DARWEN
773.4,2021-04-01,10,392.0,00R,NHS BLACKPOOL
305.94,2021-04-01,6,153.0,00T,NHS BOLTON
969.07,2021-04-01,16,448.0,00V,NHS BURY
248.59,2021-04-01,4,112.0,00X,NHS CHORLEY AND SOUTH RIBBLE
1512.03,2021-04-01,12,680.0,00Y,NHS OLDHAM
3472.19,2021-04-01,57,1680.0,01A,NHS EAST LANCASHIRE
484.34,2021-04-01,8,221.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
854.13,2021-04-01,14,378.0,01E,NHS GREATER PRESTON
773.87,2021-04-01,9,378.0,01G,NHS SALFORD
849.31,2021-04-01,12,392.0,01H,NHS NORTH CUMBRIA
70.95,2021-04-01,1,28.0,01J,NHS KNOWSLEY
1813.65,2021-04-01,26,840.0,01K,NHS MORECAMBE BAY
131.99,2021-04-01,2,56.0,01T,NHS SOUTH SEFTON
646.11,2021-04-01,9,308.0,01W,NHS STOCKPORT
