icb_key,patients_per_100k_2015,patients_per_100k_2024,patients_growth_pct_10yr,patients_growth_abs_10yr,patients_growth_pct_5yr,patients_growth_abs_5yr,patients_growth_pct_3yr,patients_growth_abs_3yr,patients_growth_pct_1yr,patients_growth_abs_1yr,ICB_NAME,mean_6wk_pct,n_months,icb_name,icb_code,icb_label,accessing_per_100k
SUFFOLK AND NORTH EAST ESSEX,211.2,632.3,199.4,421.1,96.5,310.6,59.6,236.1,632.3,632.3,NHS SUFFOLK AND NORTH EAST ESSEX ICB,92.37037037037038,9,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,E54000023,Suffolk And North East Essex,2295.3
HAMPSHIRE AND ISLE OF WIGHT,207.0,659.5,218.6,452.5,141.2,386.1,99.2,328.4,659.5,659.5,NHS HAMPSHIRE AND ISLE OF WIGHT ICB,86.66666666666667,9,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,E54000042,Hampshire And Isle Of Wight,1618.1
SUSSEX,204.9,644.1,214.3,439.2,121.0,352.6,77.6,281.5,644.1,644.1,NHS SUSSEX ICB,82.14814814814815,9,NHS SUSSEX INTEGRATED CARE BOARD,E54000064,Sussex,1808.6
"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST",204.7,728.9,256.1,524.2,121.0,399.1,64.8,286.7,728.9,728.9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",93.51851851851852,9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",E54000044,"Buckinghamshire, Oxfordshire And Berkshire West",1799.8
SOUTH YORKSHIRE,204.2,696.2,240.9,492.0,143.0,409.7,71.1,289.2,696.2,696.2,NHS SOUTH YORKSHIRE ICB,93.22222222222224,9,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,E54000061,South Yorkshire,2420.8
DEVON,198.2,534.4,169.6,336.2,87.6,249.6,63.0,206.6,534.4,534.4,NHS DEVON ICB,88.77777777777777,9,NHS DEVON INTEGRATED CARE BOARD,E54000037,Devon,1939.2
"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",196.0,809.8,313.2,613.8,204.4,543.8,104.0,412.8,809.8,809.8,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",97.88888888888889,9,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",E54000039,"Bristol, North Somerset And South Gloucestershire",1502.7
SOUTH EAST LONDON,194.7,742.8,281.5,548.1,148.7,444.1,93.6,359.1,742.8,742.8,NHS SOUTH EAST LONDON ICB,89.66666666666667,9,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,E54000030,South East London,2131.7
SOMERSET,191.3,492.6,157.5,301.3,91.3,235.1,68.1,199.5,492.6,492.6,NHS SOMERSET ICB,67.22222222222223,9,NHS SOMERSET INTEGRATED CARE BOARD,E54000038,Somerset,1551.3
CORNWALL AND THE ISLES OF SCILLY,183.4,804.2,338.5,620.8,256.6,578.7,134.1,460.6,804.2,804.2,NHS CORNWALL AND THE ISLES OF SCILLY ICB,85.5,9,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,E54000036,Cornwall And The Isles Of Scilly,1504.8
SOUTH WEST LONDON,171.4,745.4,334.9,574.0,140.9,436.0,66.5,297.6,745.4,745.4,NHS SOUTH WEST LONDON ICB,96.44444444444444,9,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,E54000031,South West London,1903.1
BIRMINGHAM AND SOLIHULL,166.9,581.6,248.5,414.7,120.8,318.2,120.8,318.2,581.6,581.6,NHS BIRMINGHAM AND SOLIHULL ICB,87.77777777777777,9,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,E54000055,Birmingham And Solihull,2216.1
"SHROPSHIRE, TELFORD AND WREKIN",162.9,848.0,420.6,685.1,293.7,632.6,197.3,562.8,848.0,848.0,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB",49.77777777777778,9,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",E54000011,"Shropshire, Telford And Wrekin",1323.4
GLOUCESTERSHIRE,160.3,407.1,154.0,246.8,88.1,190.7,65.6,161.3,407.1,407.1,NHS GLOUCESTERSHIRE ICB,89.55555555555556,9,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,E54000043,Gloucestershire,1777.8
NORTH CENTRAL LONDON,154.0,798.0,418.2,644.0,191.6,524.3,95.8,390.4,798.0,798.0,NHS NORTH CENTRAL LONDON ICB,76.77777777777777,9,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,E54000028,North Central London,2469.7
NORTH EAST LONDON,152.4,662.7,334.8,510.3,110.8,348.4,74.6,283.1,662.7,662.7,NHS NORTH EAST LONDON ICB,92.55555555555556,9,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,E54000029,North East London,1871.4
NORTH WEST LONDON,137.2,677.3,393.7,540.1,174.0,430.1,88.8,318.5,677.3,677.3,NHS NORTH WEST LONDON ICB,92.66666666666669,9,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,E54000027,North West London,2261.2
"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",134.7,716.2,431.7,581.5,147.1,426.4,91.5,342.3,716.2,716.2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",92.66666666666669,9,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",E54000040,"Bath And North East Somerset, Swindon And Wiltshire",1589.9
HUMBER AND NORTH YORKSHIRE,121.5,335.5,176.1,214.0,114.1,178.8,85.2,154.3,335.5,335.5,NHS HUMBER AND NORTH YORKSHIRE ICB,82.05185185185185,9,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,E54000051,Humber And North Yorkshire,1817.6
WEST YORKSHIRE,120.1,371.9,209.7,251.8,146.9,221.3,90.0,176.2,371.9,371.9,NHS WEST YORKSHIRE ICB,90.97777777777776,9,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,E54000054,West Yorkshire,2527.1
COVENTRY AND WARWICKSHIRE,117.7,404.9,244.0,287.2,123.7,223.9,73.0,170.8,404.9,404.9,NHS COVENTRY AND WARWICKSHIRE ICB,95.11111111111111,9,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,E54000018,Coventry And Warwickshire,1793.8
STAFFORDSHIRE AND STOKE-ON-TRENT,111.0,475.6,328.5,364.6,264.4,345.1,220.1,327.0,475.6,475.6,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,81.79629629629629,9,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,E54000010,Staffordshire And Stoke-On-Trent,1951.5
