financial_year,icb_name,identified_patients,total_items,nic_gbp
2016/2017,NHS DEVON INTEGRATED CARE BOARD,2623.0,23589.0,926607.01
2016/2017,NHS DORSET INTEGRATED CARE BOARD,1873.0,16412.0,739826.23
2016/2017,NHS FRIMLEY INTEGRATED CARE BOARD,1946.0,15838.0,665054.6799999999
2016/2017,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,971.0,9591.0,377257.87
2016/2017,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,6705.0,62551.0,2652691.95
2016/2017,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,3964.0,32998.0,1508680.72
2016/2017,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1941.0,17395.0,729214.89
2016/2017,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,3029.0,24983.0,1075354.8800000001
2016/2017,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2144.0,21180.0,848667.66
2016/2017,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,7502.0,66427.0,2952785.02
2016/2017,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,4343.0,43855.0,1751071.0899999999
2016/2017,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",2797.0,23652.0,1021851.5700000001
2016/2017,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,2089.0,20355.0,773095.8600000001
2016/2017,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,3661.0,33324.0,1288401.0599999998
2016/2017,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,3988.0,39315.0,1574375.76
2016/2017,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,2504.0,17843.0,917154.2799999999
2016/2017,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,7473.0,80003.0,3145078.29
2016/2017,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,3230.0,23725.0,1084322.51
2016/2017,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,3217.0,23061.0,1108624.8499999999
2016/2017,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,2520.0,27562.0,940862.9700000001
2016/2017,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,3445.0,27495.0,1084116.28
2016/2017,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",819.0,8683.0,375596.61
2016/2017,NHS SOMERSET INTEGRATED CARE BOARD,1178.0,9859.0,417533.38
2016/2017,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,3924.0,27830.0,1349617.65
2016/2017,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,3057.0,23771.0,1053138.3599999999
2016/2017,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,3107.0,30797.0,1244727.97
2016/2017,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1308.0,12021.0,472312.48
2016/2017,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,2212.0,20448.0,792562.9299999999
2016/2017,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,3620.0,29651.0,1344015.7100000002
2016/2017,NHS SUSSEX INTEGRATED CARE BOARD,3537.0,32631.0,1354005.08
2016/2017,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2847.0,26200.0,1105617.1099999999
2016/2017,UNKNOWN ICB,3643.0,20146.0,846944.3300000001
2017/2018,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",1419.0,11541.0,449077.85
2017/2018,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",2990.0,25130.0,1024502.3099999999
2017/2018,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1649.0,11637.0,502997.54000000004
2017/2018,NHS BLACK COUNTRY INTEGRATED CARE BOARD,2957.0,30608.0,1221850.12
2017/2018,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1955.0,16220.0,700657.6599999999
2017/2018,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",4257.0,35704.0,1446416.97
2017/2018,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2246.0,21856.0,884026.09
2017/2018,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,8769.0,71917.0,2827531.55
2017/2018,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1039.0,10012.0,380109.43
2017/2018,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1266.0,12468.0,441136.87
2017/2018,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2924.0,27583.0,1085802.45
2017/2018,NHS DEVON INTEGRATED CARE BOARD,2927.0,27187.0,1024979.35
2017/2018,NHS DORSET INTEGRATED CARE BOARD,2054.0,17768.0,779517.4199999999
2017/2018,NHS FRIMLEY INTEGRATED CARE BOARD,2096.0,16994.0,712130.8
2017/2018,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1128.0,10715.0,400855.1
2017/2018,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,7175.0,67431.0,2858485.8
2017/2018,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,4135.0,34474.0,1561347.88
2017/2018,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,2218.0,20004.0,820198.8300000001
2017/2018,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,3367.0,26886.0,1144842.23
2017/2018,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2339.0,22244.0,861031.6299999999
2017/2018,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,8063.0,71424.0,3183860.37
2017/2018,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,4500.0,44989.0,1795182.8599999999
2017/2018,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",3296.0,26052.0,1135275.33
2017/2018,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,2176.0,21020.0,800104.5299999999
2017/2018,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,3964.0,34412.0,1301058.31
2017/2018,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,4159.0,40725.0,1582893.37
2017/2018,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,2881.0,19721.0,1006951.13
2017/2018,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,7671.0,82394.0,3176990.36
