ORG_CODE1,ORG_NAME1,ICB_NAME,FY_LABEL,mean_6wk_pct,n_months
27D,NHS CHESHIRE AND MERSEYSIDE ICB - 27D,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,91.75,4
27D,NHS CHESHIRE AND MERSEYSIDE ICB - 27D,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,90.77777777777777,9
99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,NHS CHESHIRE AND MERSEYSIDE ICB,2024/25,98.5,4
99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,96.11111111111111,9
11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB - 11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB,2024/25,91.25,4
11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB - 11N,NHS CORNWALL AND THE ISLES OF SCILLY ICB,2025/26,85.5,9
B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB,2024/25,94.75,4
B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB,2025/26,95.11111111111111,9
15M,NHS DERBY AND DERBYSHIRE ICB - 15M,NHS DERBY AND DERBYSHIRE ICB,2024/25,88.5,4
15M,NHS DERBY AND DERBYSHIRE ICB - 15M,NHS DERBY AND DERBYSHIRE ICB,2025/26,69.33333333333333,9
15N,NHS DEVON ICB - 15N,NHS DEVON ICB,2024/25,89.25,4
15N,NHS DEVON ICB - 15N,NHS DEVON ICB,2025/26,88.77777777777777,9
11J,NHS DORSET ICB - 11J,NHS DORSET ICB,2024/25,97.25,4
11J,NHS DORSET ICB - 11J,NHS DORSET ICB,2025/26,95.44444444444444,9
D4U1Y,NHS FRIMLEY ICB - D4U1Y,NHS FRIMLEY ICB,2024/25,96.25,4
D4U1Y,NHS FRIMLEY ICB - D4U1Y,NHS FRIMLEY ICB,2025/26,91.66666666666667,9
11M,NHS GLOUCESTERSHIRE ICB - 11M,NHS GLOUCESTERSHIRE ICB,2024/25,93.75,4
11M,NHS GLOUCESTERSHIRE ICB - 11M,NHS GLOUCESTERSHIRE ICB,2025/26,89.55555555555556,9
00T,NHS GREATER MANCHESTER ICB - 00T,NHS GREATER MANCHESTER ICB,2024/25,76.25,4
00T,NHS GREATER MANCHESTER ICB - 00T,NHS GREATER MANCHESTER ICB,2025/26,74.55555555555556,9
00V,NHS GREATER MANCHESTER ICB - 00V,NHS GREATER MANCHESTER ICB,2024/25,85.5,4
00V,NHS GREATER MANCHESTER ICB - 00V,NHS GREATER MANCHESTER ICB,2025/26,61.44444444444444,9
00Y,NHS GREATER MANCHESTER ICB - 00Y,NHS GREATER MANCHESTER ICB,2024/25,61.5,4
00Y,NHS GREATER MANCHESTER ICB - 00Y,NHS GREATER MANCHESTER ICB,2025/26,74.22222222222223,9
01D,NHS GREATER MANCHESTER ICB - 01D,NHS GREATER MANCHESTER ICB,2024/25,62.25,4
01D,NHS GREATER MANCHESTER ICB - 01D,NHS GREATER MANCHESTER ICB,2025/26,60.22222222222222,9
01G,NHS GREATER MANCHESTER ICB - 01G,NHS GREATER MANCHESTER ICB,2024/25,81.0,4
01G,NHS GREATER MANCHESTER ICB - 01G,NHS GREATER MANCHESTER ICB,2025/26,83.33333333333333,9
01W,NHS GREATER MANCHESTER ICB - 01W,NHS GREATER MANCHESTER ICB,2024/25,83.25,4
01W,NHS GREATER MANCHESTER ICB - 01W,NHS GREATER MANCHESTER ICB,2025/26,79.11111111111111,9
01Y,NHS GREATER MANCHESTER ICB - 01Y,NHS GREATER MANCHESTER ICB,2024/25,96.25,4
01Y,NHS GREATER MANCHESTER ICB - 01Y,NHS GREATER MANCHESTER ICB,2025/26,94.77777777777777,9
02A,NHS GREATER MANCHESTER ICB - 02A,NHS GREATER MANCHESTER ICB,2024/25,78.75,4
02A,NHS GREATER MANCHESTER ICB - 02A,NHS GREATER MANCHESTER ICB,2025/26,72.77777777777777,9
02H,NHS GREATER MANCHESTER ICB - 02H,NHS GREATER MANCHESTER ICB,2024/25,91.0,4
02H,NHS GREATER MANCHESTER ICB - 02H,NHS GREATER MANCHESTER ICB,2025/26,92.44444444444444,9
14L,NHS GREATER MANCHESTER ICB - 14L,NHS GREATER MANCHESTER ICB,2024/25,77.25,4
14L,NHS GREATER MANCHESTER ICB - 14L,NHS GREATER MANCHESTER ICB,2025/26,77.77777777777777,9
10R,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R,NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2024/25,83.0,4
10R,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R,NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2025/26,79.55555555555556,9
D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2024/25,96.5,4
D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2025/26,93.77777777777777,9
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB - 18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,2024/25,86.5,4
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB - 18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,2025/26,86.55555555555556,9
06K,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06K,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2024/25,62.75,4
06K,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06K,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2025/26,71.55555555555556,9
06N,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06N,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2024/25,70.25,4
06N,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06N,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2025/26,71.33333333333333,9
07H,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 07H,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2024/25,98.25,4
07H,NHS HERTFORDSHIRE AND WEST ESSEX ICB - 07H,NHS HERTFORDSHIRE AND WEST ESSEX ICB,2025/26,95.11111111111111,9
02Y,NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,87.0,4
02Y,NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y,NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,79.57142857142857,9
03F,NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,82.75,4
03F,NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,61.888888888888886,9
03H,NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,67.75,4
03H,NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,64.11111111111111,9
