SUBICB_CODE,SUBICB_NAME,FY_LABEL,mean_6wk_access_pct
15F,NHS WEST YORKSHIRE ICB - 15F,2025/26,432.5
15M,NHS DERBY AND DERBYSHIRE ICB - 15M,2025/26,443.3333333333333
15N,NHS DEVON ICB - 15N,2025/26,330.0
16C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C,2025/26,120.0
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB - 18C,2025/26,330.0
26A,NHS NORFOLK AND WAVENEY ICB - 26A,2025/26,295.0
27D,NHS CHESHIRE AND MERSEYSIDE ICB - 27D,2025/26,81.66666666666667
36J,NHS WEST YORKSHIRE ICB - 36J,2025/26,160.0
36L,NHS SOUTH WEST LONDON ICB - 36L,2025/26,115.83333333333333
42D,NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,2025/26,63.333333333333336
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 52R,2025/26,800.0
70F,NHS SUSSEX ICB - 70F,2025/26,325.0
71E,NHS LINCOLNSHIRE ICB - 71E,2025/26,
72Q,NHS SOUTH EAST LONDON ICB - 72Q,2025/26,222.85714285714286
76A,NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,2025/26,
78H,NHS NORTHAMPTONSHIRE ICB - 78H,2025/26,342.5
84H,NHS NORTH EAST AND NORTH CUMBRIA ICB - 84H,2025/26,10.0
91Q,NHS KENT AND MEDWAY ICB - 91Q,2025/26,360.0
92A,NHS SURREY HEARTLANDS ICB - 92A,2025/26,35.0
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB - 92G",2025/26,80.0
93C,NHS NORTH CENTRAL LONDON ICB - 93C,2025/26,246.66666666666666
97R,NHS SUSSEX ICB - 97R,2025/26,55.0
97T,SOUTH EAST - H&J COMMISSIONING HUB,2025/26,
99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,2025/26,100.0
99C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 99C,2025/26,185.0
99E,NHS MID AND SOUTH ESSEX ICB - 99E,2025/26,35.0
99F,NHS MID AND SOUTH ESSEX ICB - 99F,2025/26,5.0
99G,NHS MID AND SOUTH ESSEX ICB - 99G,2025/26,10.0
A3A8R,NHS NORTH EAST LONDON ICB - A3A8R,2025/26,272.0
B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,2025/26,95.0
D2P2L,NHS BLACK COUNTRY ICB - D2P2L,2025/26,555.0
D4U1Y,NHS FRIMLEY ICB - D4U1Y,2025/26,140.0
D9Y0V,NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V,2025/26,418.3333333333333
InvalidCode,Unknown,2025/26,10.0
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y",2025/26,260.0
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M",2025/26,167.5
W2U3Z,NHS NORTH WEST LONDON ICB - W2U3Z,2025/26,108.88888888888889
X2C4Y,NHS WEST YORKSHIRE ICB - X2C4Y,2025/26,10.0
