actual_cost,date,items,quantity,row_id,row_name
5151.39,2021-01-01,55,5294.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
11032.87,2021-01-01,120,12862.0,26A,NHS NORFOLK AND WAVENEY
2616.4,2021-01-01,44,3003.0,27D,NHS CHESHIRE
1796.25,2021-01-01,24,2054.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
17522.53,2021-01-01,207,16685.0,36L,NHS SOUTH WEST LONDON
6041.53,2021-01-01,32,3814.0,42D,NHS NORTH YORKSHIRE
2440.7,2021-01-01,17,2746.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
4093.97,2021-01-01,50,4351.0,70F,NHS WEST SUSSEX
3043.35,2021-01-01,39,2510.0,71E,NHS LINCOLNSHIRE
18064.28,2021-01-01,189,17754.0,72Q,NHS SOUTH EAST LONDON
3127.93,2021-01-01,40,3158.0,78H,NHS NORTHAMPTONSHIRE
2573.66,2021-01-01,38,3129.0,84H,NHS COUNTY DURHAM
15792.9,2021-01-01,169,16607.0,91Q,NHS KENT AND MEDWAY
7464.22,2021-01-01,90,6994.0,92A,NHS SURREY HEARTLANDS
3159.63,2021-01-01,34,3398.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
20523.5,2021-01-01,217,20323.0,93C,NHS NORTH CENTRAL LONDON
3433.74,2021-01-01,36,3466.0,97R,NHS EAST SUSSEX
2464.44,2021-01-01,35,2458.0,99A,NHS LIVERPOOL
4740.76,2021-01-01,62,5438.0,99C,NHS NORTH TYNESIDE
1990.06,2021-01-01,18,2336.0,99E,NHS BASILDON AND BRENTWOOD
1066.56,2021-01-01,16,1176.0,99F,NHS CASTLE POINT AND ROCHFORD
1618.76,2021-01-01,14,1608.0,99G,NHS SOUTHEND
13680.2,2021-01-01,127,14682.0,A3A8R,NHS NORTH EAST LONDON
4882.26,2021-01-01,63,5284.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
3962.77,2021-01-01,41,4338.0,D2P2L,NHS BLACK COUNTRY
5355.99,2021-01-01,51,4655.0,D4U1Y,NHS FRIMLEY
10106.82,2021-01-01,112,11326.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
